Nikkei225	2011-06-02	2011-06-03	2011-06-06	2011-06-07	2011-06-08	2011-06-09	2011-06-10	2011-06-13	2011-06-14	2011-06-15	2011-06-16	2011-06-17	2011-06-20	2011-06-21	2011-06-22	2011-06-23	2011-06-24	2011-06-27	2011-06-28	2011-06-29	2011-06-30
積水ハウス	-1.30	-0.79	0.53	0.79	-0.13	-0.39	1.44	-0.65	1.17	-0.26	-1.94	-5.66	-1.67	-0.71	3.14	-0.14	0.42	-0.14	0.69	1.79	0.67
浜ゴム	-1.62	-1.65	0.24	1.91	1.87	0.46	0.46	-1.37	1.39	0.68	-1.36	-0.46	-0.46	0.93	1.38	0.00	0.00	0.23	1.81	1.77	0.65
日立造	-1.71	0.00	-0.87	0.88	-1.74	0.88	1.75	0.00	0.00	-0.86	0.00	0.87	3.45	0.83	0.83	0.82	1.63	-1.60	0.81	0.00	0.81
三菱ＵＦＪ	-1.58	-1.07	-2.97	0.28	0.83	-0.28	0.55	0.00	2.20	-0.27	-1.35	-1.09	-0.28	0.28	2.49	0.00	1.35	0.00	0.53	1.06	2.09
日清粉Ｇ	-0.91	-0.10	-0.41	-0.31	-0.72	0.82	1.23	-0.30	0.61	0.20	-1.71	-1.33	0.62	0.00	1.96	-0.40	1.72	-1.79	0.00	1.52	0.20
中外製	0.45	-0.89	-1.20	0.08	-0.15	-0.08	0.08	-0.46	-0.23	0.69	-0.68	-0.15	0.31	0.00	1.30	0.15	0.38	-1.65	-0.46	0.61	0.23
東電力	2.01	-6.23	-27.62	4.35	-7.41	-4.00	-1.04	4.74	25.13	32.13	-2.74	-5.63	3.97	-2.87	0.33	-4.25	5.12	2.60	0.00	2.85	0.31
高島屋	-2.09	-2.33	-1.19	-0.40	-1.21	-1.22	0.62	-0.41	0.41	-0.41	0.62	0.20	0.82	2.03	4.17	-0.38	1.53	1.13	2.05	1.46	-0.36
ＪＦＥ	-1.49	-1.51	-0.87	0.52	-0.72	-0.57	1.14	-0.77	2.17	-0.20	1.83	0.25	-0.30	1.79	0.15	1.03	1.79	1.81	-1.07	2.60	1.43
ＮＫＳＪ　ＨＤ	-2.15	-2.20	0.82	0.81	-0.40	0.61	2.41	-1.76	0.60	-0.40	-0.40	-1.60	1.42	0.60	1.39	0.39	0.39	-0.78	1.77	3.09	-0.94
大日スクリン	-1.79	-0.76	-0.31	3.85	0.59	0.15	1.32	1.45	2.43	-1.54	-3.69	0.00	-1.33	-1.34	3.63	-2.92	2.11	-1.03	1.34	2.06	-1.87
三菱商事	-2.23	-1.39	-1.76	1.08	0.05	-0.25	0.36	-0.96	0.87	0.86	-2.81	-0.26	-0.83	1.67	1.54	-0.30	0.61	-1.16	0.66	0.86	0.50
ユニー	-1.96	-2.14	-0.58	-0.59	1.62	1.16	-0.29	-0.57	2.17	-0.99	-1.29	-2.17	0.74	3.23	1.56	0.28	0.84	-0.55	1.25	1.79	0.68
シチズンＨＤ	-2.18	-1.56	-3.17	-0.47	0.71	0.70	-0.70	-0.93	0.94	1.87	-2.29	3.05	1.82	0.00	0.89	-0.44	2.45	0.43	1.73	1.28	0.63
旭硝子	-3.13	-0.32	-2.70	0.55	0.88	-0.33	0.11	-0.33	0.77	0.76	-1.52	-0.88	0.11	0.00	1.66	-1.42	1.55	-1.31	-0.55	2.11	1.63
三井物産	-2.16	-1.47	-1.87	0.84	0.45	-1.95	0.54	-0.84	1.69	0.53	-3.53	0.31	-0.78	2.35	2.83	0.15	1.11	-1.10	0.74	2.06	0.00
ＮＴＴデータ	-1.03	-0.56	-1.53	0.62	-0.94	-0.78	0.91	-0.95	1.04	1.89	0.20	-0.76	-0.77	0.82	2.31	-0.36	1.99	1.36	0.81	1.56	-0.08
ふくおか	-2.81	-1.29	-0.98	0.33	0.98	-0.32	1.30	-0.96	1.95	0.00	-1.27	-0.65	0.65	1.29	2.23	-0.62	0.31	-0.63	1.26	1.86	2.13
キッコマン	-1.58	-0.25	-0.99	-0.12	-1.63	1.40	2.26	-0.37	1.85	0.85	-2.04	-0.12	-0.37	0.37	2.69	0.00	0.95	-1.77	0.48	1.20	-0.12
日野自	-0.91	-0.92	-1.15	0.70	0.23	1.39	2.05	-3.36	0.46	4.38	-1.32	-1.12	-0.23	1.81	1.78	0.44	1.31	-0.86	0.43	0.65	0.21
